,Name,Sector,Name_of_post,Place of posting,Actual Post,Category,Open_for_UG,Open_for_PG,CTC_PG,CGPA_Requirement,Total_vacancies,PPO or not ,Applied Mathematics,Computer Science,electronic,electrical ,Mechanical,Chemical,Architecture and planning,Process,Biotechnology,Chemistry,Civil ,Geological,Geophysical ,Metallurgical,Physics,Polymer Science,Production and Industrial ,Pulp & Paper,Unnamed: 28,number_of_people,CTC_UG,CTC Remark,CGPA Requirement
344,BRIDGECON INFRA CONSULTANT,Construction / Infrastructure,Design Engineer,,Core,B,"['Civil Engineering', 'Civil Engineering with specialisation in Structures', 'Civil Engineering with specialisation in Structures']","['Building Technology', 'Environmental Engineering', 'Geomatics Engineering', 'Geotechnical Engineering', 'Hydraulics Engineering', 'Seismic Vulnerability & Risk Assessment', 'Soil Dynamics', 'Structural Dynamics', 'Structural Engineering', 'Transportation Engineering']",4.8 Lacs INR,-,-,placement,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,4.2 Lacs INR,,
345,Techture,Core Engineering,Sr. BIM Engineer/ Architect,,Core,A,"['Architecture and Planning', 'Civil Engineering', 'Civil Engineering with specialisation in Structures', 'Civil Engineering with specialisation in Structures', 'Mechanical Engineering']","['Architecture and Planning', 'Disaster Mitigation and Management', 'Geomatics Engineering', 'Master of Urban and Rural Planning']",0.0 Lacs INR,-,-,placement,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,3,,0.0 Lacs INR,,
346,Neotech Systems Pvt. Ltd.,,,,Software,C,"['B. Tech. (Computer Science & Engineering) and M. Tech. (Information Technology)', 'B. Tech. (Electrical Engineering) and M.Tech. (Power Electronics)', 'B. Tech. (Electronics & Communication Engineering) and M. Tech. (Wireless Communication)', 'Computer Science and Engineering', 'Electrical Engineering', 'Electronics & Communication Engineering']","['Communication Systems', 'Computer Science & Engineering', 'Control & Guidance', 'Electric Drives and Power Electronics', 'Information Technology', 'Instrumentation and Signal Processing', 'Micro Electronic and VLSI', 'Power System Engineering', 'RF and Microwave Engineering', 'Semiconductor Design and VLSI Technology', 'System and Control', 'System Modelling and Control']",3.5 Lacs INR,-,-,placement,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,,3.5 Lacs INR,,
347,AFFLATUS GRAVURES PVT. LTD.,R&D,GET Process and Development,,Core,B,['Pulp & Paper Technology'],['Packaging Technology'],5.0 Lacs INR,-,-,placement,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,5.0 Lacs INR,,
348,G.Pulla Reddy Engg. College (Autonomous),Academics,-,,Academics,U,,,-,-,-,placement,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,-,,
349,Accenture,Consultancy,System Integration Practitioner,,Analyst,A,['Metallurgy Dual'],"['Advanced Chemical Analysis', 'Alternate Hydro Energy Systems', 'Building Technology', 'CAD,CAM & Robotics', 'Communication Systems', 'Computer Aided Process Plant Design', 'Computer Science & Engineering', 'Control & Guidance', 'Corrosion Engineering', 'Disaster Mitigation and Management', 'Electric Drives and Power Electronics', 'Environmental Engineering', 'Environmental Management of Rivers and Lakes', 'Geological Technology', 'Geomatics Engineering', 'Geophysical Technology', 'Geophysical Technology', 'Geotechnical Engineering', 'Ground Water Hydrology', 'Hydraulics Engineering', 'Hydrology', 'Industrial Metallurgy', 'Industrial Pollution Abatement', 'Industrial Safety and Hazards Management', 'Information Technology', 'Infrastructure Systems', 'Instrumentation and Signal Processing', 'Irrigation Water Management', 'M.Tech. Bioprocess Engineering', 'Machine Design Engineering', 'Materials Engineering', 'Micro Electronic and VLSI', 'Nanotechnology', 'Packaging Technology', 'Power System Engineering', 'Production & Industrial Systems Engineering', 'Pulp & Paper Engineering', 'RF and Microwave Engineering', 'Seismic Vulnerability & Risk Assessment', 'Semiconductor Design and VLSI Technology', 'Soil Dynamics', 'Solid State Electronic Materials', 'Structural Dynamics', 'Structural Engineering', 'Surface Water Hydrology', 'System and Control', 'System Modelling and Control', 'Thermal Engineering', 'Thermal Systems Engineering', 'Transportation Engineering', 'Water Resources Development', 'Watershed Management', 'Welding Engineering']",0.0 Lacs INR,6.0,-,placement,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,-,,
350,"SRM University, Kattankulathur",Academics,"HoDs, Professors, Associate Professors and Assistant Professors",,Academics,U,,,-,-,-,placement,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,-,,
351,"GLA University, Mathura",Academics,Assistant Professor,,Academics,U,,['Computer Science & Engineering'],6.0 Lacs INR,-,-,placement,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,-,,
352,"Siddhant Group of Institutions, Sudumbare, Pune",Academics,-,,Academics,U,,"['Building Technology', 'CAD,CAM & Robotics', 'Communication Systems', 'Computer Science & Engineering', 'Control & Guidance', 'Disaster Mitigation and Management', 'Electric Drives and Power Electronics', 'Environmental Engineering', 'Geomatics Engineering', 'Geotechnical Engineering', 'Hydraulics Engineering', 'Industrial Metallurgy', 'Instrumentation and Signal Processing', 'Machine Design Engineering', 'Management and Business Administration', 'Materials Engineering', 'Micro Electronic and VLSI', 'Power System Engineering', 'Production & Industrial Systems Engineering', 'RF and Microwave Engineering', 'Seismic Vulnerability & Risk Assessment', 'Semiconductor Design and VLSI Technology', 'Soil Dynamics', 'Solid State Electronic Materials', 'Structural Dynamics', 'Structural Engineering', 'System and Control', 'Thermal Engineering', 'Thermal Systems Engineering', 'Transportation Engineering', 'Welding Engineering']",-,-,-,placement,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,-,,
353,Avinex Software Pvt. Ltd.,Core Engineering,Technical Service Engineer - Refinery Operations,,Core,B,,['Computer Aided Process Plant Design'],4.5 Lacs INR,-,-,placement,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,-,,
354,Uflex Chemicals,Core Engineering,-,,Core,C,,"['Packaging Technology', 'Pulp & Paper Engineering']",3.75 Lacs INR,-,-,placement,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-,,
355,XLPAT TT Consultants Pvt. Ltd,Consultancy,Software Product Engineer,,Analyst,A,"['Applied Mathematics', 'Architecture and Planning', 'B. Tech. (Chemical Engineering) and M. Tech. (Hydrocarbon Engineering)', 'B. Tech. (Computer Science & Engineering) and M. Tech. (Information Technology)', 'B. Tech. (Electrical Engineering) and M.Tech. (Power Electronics)', 'B. Tech. (Electronics & Communication Engineering) and M. Tech. (Wireless Communication)', 'B. Tech. (Process Engineering) and M.B.A.', 'B.Tech. (Chemical Engineering) with M.Tech. (Computer Aided Process Plant Design)', 'B.Tech. (Mechanical Engineering) and M.Tech. (Thermal Engineering)', 'Biotechnology', 'Chemical Engineering', 'Chemistry', 'Civil Engineering', 'Civil Engineering with specialisation in Structures', 'Civil Engineering with specialisation in Structures', 'Computer Science and Engineering', 'Electrical Engineering', 'Electronics & Communication Engineering', 'Engineering Physics', 'Geological Technology', 'Geophysical Technology', 'Mechanical Engineering', 'Metallurgical & Materials Engineering', 'Metallurgy Dual', 'Physics', 'Polymer Science and Technology', 'Polymer Science and Technology', 'Production and Industrial Engineering', 'Pulp & Paper Technology']",,-,-,-,placement,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,18,,10.0 Lacs INR,,
356,Pyramid E & C,Consultancy,Information Management Trainees,,Analyst,B,"['B. Tech. (Electronics & Communication Engineering) and M. Tech. (Wireless Communication)', 'Electronics & Communication Engineering']",,5.0 Lacs INR,-,-,placement,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,4.5 Lacs INR,,
357,Teerthanker Mahaveer University,Academics,"Lecturer, Assistant Professor & Associate Professor",,Academics,U,"['Architecture and Planning', 'B. Tech. (Computer Science & Engineering) and M. Tech. (Information Technology)', 'B. Tech. (Electrical Engineering) and M.Tech. (Power Electronics)', 'B. Tech. (Electronics & Communication Engineering) and M. Tech. (Wireless Communication)', 'Civil Engineering', 'Electrical Engineering', 'Electronics & Communication Engineering', 'Mechanical Engineering']","['Architecture and Planning', 'Building Technology', 'CAD,CAM & Robotics', 'Computer Science & Engineering', 'Geomatics Engineering', 'Management and Business Administration', 'Master of Urban and Rural Planning', 'Power System Engineering', 'RF and Microwave Engineering', 'Structural Dynamics', 'Structural Engineering']",4.2 Lacs INR,-,-,placement,0,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,6,,3.0 Lacs INR,,
358,Indian Oil Corporation Ltd. R & D Centre,PSU/Government,-,,Core,A,,['Instrumentation and Signal Processing'],12.0 Lacs INR,-,-,placement,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-,,
359,Knowledge Podium Systems Pvt Ltd (for UG),Core Engineering,MT's/GT's,,Core,B,"['B. Tech. (Electrical Engineering) and M.Tech. (Power Electronics)', 'B. Tech. (Electronics & Communication Engineering) and M. Tech. (Wireless Communication)', 'B. Tech. (Process Engineering) and M.B.A.', 'Computer Science and Engineering', 'Electrical Engineering', 'Electronics & Communication Engineering', 'Mechanical Engineering', 'Production and Industrial Engineering']",,-,-,-,placement,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,6,3,4.5 Lacs INR,,
